Date,Price,Open,High,Low,Vol
2022-10-10,19128.0,19444.4,19527.0,19056.0,4690.0
2022-10-11,19062.0,19128.0,19260.0,18870.0,8840.0
2022-10-12,19158.0,19062.0,19232.0,19026.0,3490.0
2022-10-13,19387.0,19158.0,19503.0,18200.0,6270.0
2022-10-14,19187.0,19387.0,19946.0,19103.0,2570.0
2022-10-15,19072.0,19187.0,19227.0,18993.0,740.0
2022-10-16,19269.0,19072.0,19428.0,19068.0,780.0
2022-10-17,19554.0,19266.0,19683.0,19168.0,1450.0
2022-10-18,19334.0,19554.0,19705.0,19106.0,2120.0
2022-10-19,19132.0,19334.0,19361.0,19098.0,860.0
2022-10-20,19057.0,19132.0,19345.0,18940.0,1270.0
2022-10-21,19175.0,19057.0,19260.0,18680.0,1190.0
2022-10-22,19219.0,19175.0,19272.0,19125.0,750.0
2022-10-23,19585.0,19219.0,19707.0,19105.0,1520.0
2022-10-24,19340.0,19585.0,19601.0,19175.0,1310.0
2022-10-25,20104.0,19340.0,20430.0,19254.0,2760.0
2022-10-26,20788.0,20104.0,21011.0,20077.0,3900.0
2022-10-27,20303.0,20788.0,20892.0,20226.0,2750.0
2022-10-28,20611.0,20303.0,20764.0,20055.0,2280.0
2022-10-29,20833.0,20611.0,21074.0,20576.0,1830.0
2022-10-30,20647.0,20833.0,20949.0,20535.0,1090.0
2022-10-31,20509.0,20647.0,20843.0,20268.0,1710.0
2022-11-01,20500.0,20509.0,20689.0,20357.0,1670.0
2022-11-02,20168.0,20500.0,20816.0,20080.0,2580.0
2022-11-03,20223.0,20168.0,20403.0,20073.0,1240.0
2022-11-04,21168.0,20223.0,21290.0,20206.0,3810.0
2022-11-05,21313.0,21168.0,21470.0,21105.0,1620.0
2022-11-06,20932.0,21313.0,21378.0,20913.0,1350.0
2022-11-07,20610.0,20932.0,21083.0,20423.0,1840.0
2022-11-08,18557.0,20610.0,20692.0,16950.0,20520.0
2022-11-09,15907.0,18557.0,18597.0,15603.0,18080.0
2022-11-10,17579.0,15907.0,18155.0,15760.0,20730.0
2022-11-11,17045.0,17579.0,17665.0,16403.0,8029.999999999999
2022-11-12,16812.0,17045.0,17105.0,16637.0,1250.0
2022-11-13,16345.0,16812.0,16956.0,16257.0,2540.0
2022-11-14,16627.0,16345.0,17188.0,15829.0,6710.0
2022-11-15,16886.0,16627.0,17124.0,16554.0,6530.0
2022-11-16,16531.0,16886.0,17002.0,16384.0,4340.0
2022-11-17,16705.0,16676.0,16735.0,16413.0,1480.0
2022-11-18,16634.0,16827.0,16837.0,16550.0,1810.0
2022-11-19,16695.0,16645.0,16811.0,16600.0,610.0
2022-11-20,16281.0,16695.0,16742.0,16185.0,1180.0
2022-11-21,15766.0,16281.0,16281.0,15501.0,4310.0
2022-11-22,16215.0,15766.0,16279.0,15616.0,3200.0
2022-11-23,16619.0,16215.0,16676.0,16168.0,2900.0
2022-11-24,16606.0,16619.0,16792.0,16468.0,1210.0
2022-11-25,16519.0,16606.0,16617.0,16354.0,1160.0
2022-11-26,16459.0,16519.0,16697.0,16390.0,780.0
2022-11-27,16432.0,16459.0,16600.0,16422.0,490.0
2022-11-28,16215.0,16432.0,16487.0,16014.0,1740.0
2022-11-29,16452.0,16215.0,16537.0,16102.0,1630.0
2022-11-30,17182.0,16452.0,17238.0,16446.0,2730.0
2022-12-01,16980.0,17182.0,17270.0,16872.0,1560.0
2022-12-02,17091.0,16980.0,17100.0,16808.0,1530.0
2022-12-03,16890.0,17091.0,17135.0,16870.0,690.0
2022-12-04,17128.0,16890.0,17199.0,16886.0,1410.0
2022-12-05,16974.0,17128.0,17420.0,16886.0,1460.0
2022-12-06,17096.0,16974.0,17109.0,16917.0,770.0
2022-12-07,16844.0,17096.0,17137.0,16720.0,1070.0
2022-12-08,17246.0,16844.0,17321.0,16759.0,1760.0
2022-12-09,17135.0,17246.0,17326.0,17090.0,1420.0
2022-12-10,17132.0,17135.0,17232.0,17109.0,370.0
2022-12-11,17109.0,17132.0,17294.0,17095.0,2070.0
2022-12-12,17228.0,17109.0,17258.0,16899.0,2470.0
2022-12-13,17785.0,17228.0,17981.0,17107.0,5960.0
2022-12-14,17810.0,17785.0,18373.0,17688.0,3080.0
2022-12-15,17372.0,17810.0,17867.0,17311.0,1920.0
2022-12-16,16642.0,17372.0,17543.0,16554.0,3010.0
2022-12-17,16793.0,16642.0,16811.0,16609.0,1230.0
2022-12-18,16757.0,16793.0,16851.0,16680.0,610.0
2022-12-19,16448.0,16757.0,16825.0,16320.0,2040.0
2022-12-20,16925.0,16448.0,17057.0,16413.0,1460.0
2022-12-21,16845.0,16925.0,16934.0,16755.0,790.0
2022-12-22,16838.0,16845.0,16873.0,16588.0,770.0
2022-12-23,16802.0,16838.0,16942.0,16788.0,530.0
2022-12-24,16864.0,16802.0,16880.0,16802.0,400.0
2022-12-25,16847.0,16864.0,16874.0,16760.0,380.0
2022-12-26,16946.0,16847.0,16958.0,16814.0,320.0
2022-12-27,16719.0,16946.0,16987.0,16631.0,940.0
2022-12-28,16558.0,16719.0,16796.0,16490.0,1590.0
2022-12-29,16658.0,16558.0,16675.0,16505.0,420.0
2022-12-30,16618.0,16658.0,16659.0,16380.0,1300.0
2022-12-31,16564.0,16618.0,16660.0,16515.0,600.0
2023-01-01,16643.0,16564.0,16644.0,16517.0,240.0
2023-01-02,16690.0,16643.0,16802.0,16584.0,600.0
2023-01-03,16689.0,16690.0,16807.0,16625.0,1580.0
2023-01-04,16868.0,16689.0,16998.0,16671.0,1120.0
2023-01-05,16842.0,16868.0,16888.0,16778.0,570.0
2023-01-06,16967.0,16842.0,17045.0,16705.0,1820.0
2023-01-07,16958.0,16967.0,16990.0,16925.0,280.0
2023-01-08,17139.0,16958.0,17174.0,16930.0,810.0
2023-01-09,17188.0,17139.0,17399.0,17123.0,1580.0
2023-01-10,17445.0,17188.0,17503.0,17155.0,810.0
2023-01-11,17946.0,17445.0,17998.0,17319.0,2230.0
2023-01-12,18857.0,17946.0,19070.0,17920.0,5320.0
2023-01-13,19933.0,18857.0,19989.0,18725.0,3030.0
2023-01-14,20963.0,19933.0,21300.0,19897.0,6060.0
2023-01-15,20882.0,20963.0,21048.0,20583.0,1540.0
2023-01-16,21196.0,20882.0,21433.0,20651.0,3250.0
2023-01-17,21136.0,21196.0,21518.0,20905.0,2060.0
2023-01-18,20678.0,21136.0,21632.0,20435.0,3190.0
2023-01-19,21080.0,20678.0,21181.0,20670.0,900.0
2023-01-20,22672.0,21080.0,22742.0,20879.0,2880.0
2023-01-21,22766.0,22672.0,23312.0,22443.0,3600.0
2023-01-22,22713.0,22766.0,23071.0,22321.0,1520.0
2023-01-23,22910.0,22713.0,23169.0,22520.0,1860.0
2023-01-24,22627.0,22910.0,23154.0,22479.0,1880.0
2023-01-25,23045.0,22627.0,23812.0,22334.0,3740.0
2023-01-26,23004.0,23045.0,23273.0,22859.0,1400.0
2023-01-27,23067.0,23004.0,23475.0,22539.0,2250.0
2023-01-28,23029.0,23067.0,23181.0,22885.0,1410.0
2023-01-29,23746.0,23029.0,23962.0,23000.0,4240.0
2023-01-30,22837.0,23746.0,23784.0,22516.0,2950.0
2023-01-31,23135.0,22837.0,23286.0,22730.0,1990.0
2023-02-01,23723.0,23135.0,23802.0,22800.0,2130.0
2023-02-02,23485.0,23723.0,24239.0,23395.0,2830.0
2023-02-03,23433.0,23485.0,23700.0,23230.0,1920.0
2023-02-04,23315.0,23433.0,23580.0,23253.0,580.0
2023-02-05,22936.0,23315.0,23419.0,22799.0,1440.0
2023-02-06,22755.0,22936.0,23145.0,22639.0,1080.0
2023-02-07,23251.0,22755.0,23350.0,22744.0,1200.0
2023-02-08,22959.0,23251.0,23430.0,22691.0,1350.0
2023-02-09,21800.0,22959.0,23002.0,21710.0,3310.0
2023-02-10,21643.0,21800.0,21937.0,21500.0,1470.0
2023-02-11,21866.0,21643.0,21903.0,21614.0,360.0
2023-02-12,21796.0,21866.0,22095.0,21667.0,1260.0
2023-02-13,21773.0,21796.0,21902.0,21404.0,3080.0
2023-02-14,22198.0,21773.0,22311.0,21578.0,1440.0
2023-02-15,24318.0,22198.0,24350.0,22082.0,2370.0
2023-02-16,23535.0,24318.0,25232.0,23527.0,4640.0
2023-02-17,24579.0,23535.0,25018.0,23362.0,4170.0
2023-02-18,24633.0,24579.0,24853.0,24450.0,630.0
2023-02-19,24294.0,24633.0,25200.0,24246.0,2720.0
2023-02-20,24831.0,24294.0,25114.0,23867.0,2020.0
2023-02-21,24460.0,24831.0,25162.0,24177.0,3550.0
2023-02-22,24186.0,24460.0,24485.0,23586.0,3340.0
2023-02-23,23947.0,24186.0,24598.0,23625.0,2240.0
2023-02-24,23201.0,23947.0,24150.0,22911.0,3450.0
2023-02-25,23177.0,23201.0,23222.0,22810.0,1120.0
2023-02-26,23560.0,23177.0,23669.0,23083.0,770.0
2023-02-27,23504.0,23560.0,23891.0,23167.0,1840.0
2023-02-28,23134.0,23504.0,23609.0,23067.0,1440.0
2023-03-01,23646.0,23134.0,23979.0,23037.0,1370.0
2023-03-02,23472.0,23646.0,23792.0,23208.0,700.0
2023-03-03,22363.0,23472.0,23482.0,22003.0,2990.0
2023-03-04,22346.0,22363.0,22405.0,22176.0,410.0
2023-03-05,22431.0,22346.0,22650.0,22225.0,430.0
2023-03-06,22404.0,22431.0,22586.0,22315.0,890.0
2023-03-07,22209.0,22404.0,22552.0,21967.0,1840.0
2023-03-08,21712.0,22209.0,22286.0,21622.0,1750.0
2023-03-09,20378.0,21712.0,21835.0,20096.0,3790.0
2023-03-10,20201.0,20378.0,20381.0,19592.0,4640.0
2023-03-11,20538.0,20201.0,20783.0,19874.0,6800.0
2023-03-12,22079.0,20538.0,22132.0,20363.0,5610.0
2023-03-13,24187.0,22079.0,24560.0,21891.0,7010.0
2023-03-14,24744.0,24187.0,26434.0,24073.0,9610.0
2023-03-15,24321.0,24744.0,25245.0,23939.0,2630.0
2023-03-16,25057.0,24321.0,25213.0,24202.0,2420.0
2023-03-17,27350.0,25057.0,27562.0,24954.0,9820.0
2023-03-18,26913.0,27350.0,27605.0,26595.0,3080.0
2023-03-19,27936.0,26913.0,28329.0,26838.0,4340.0
2023-03-20,27712.0,27936.0,28438.0,27130.0,2700.0
2023-03-21,28112.0,27712.0,28435.0,27313.0,1660.0
2023-03-22,27263.0,28112.0,28813.0,26620.0,3930.0
2023-03-23,28304.0,27263.0,28741.0,27121.0,3120.0
2023-03-24,27458.0,28304.0,28372.0,27017.0,1920.0
2023-03-25,27482.0,27458.0,27779.0,27173.0,860.0
2023-03-26,27986.0,27482.0,28171.0,27438.0,1170.0
2023-03-27,27129.0,27986.0,28027.0,26542.0,1940.0
2023-03-28,27265.0,27129.0,27512.0,26637.0,1440.0
2023-03-29,28344.0,27265.0,28645.0,27253.0,2120.0
2023-03-30,28017.0,28344.0,29170.0,27692.0,2680.0
2023-03-31,28460.0,28017.0,28651.0,27556.0,1320.0
2023-04-01,28443.0,28460.0,28809.0,28210.0,860.0
2023-04-02,28173.0,28443.0,28515.0,27867.0,1000.0
2023-04-03,27790.0,28173.0,28482.0,27231.0,2640.0
2023-04-04,28153.0,27790.0,28445.0,27671.0,1080.0
2023-04-05,28153.0,28153.0,28750.0,27837.0,1520.0
2023-04-06,28018.0,28153.0,28163.0,27728.0,880.0
2023-04-07,27889.0,28018.0,28082.0,27755.0,330.0
2023-04-08,27901.0,27889.0,28135.0,27839.0,400.0
2023-04-09,28320.0,27901.0,28510.0,27780.0,680.0
2023-04-10,29614.0,28320.0,29724.0,28159.0,2240.0
2023-04-11,30190.0,29614.0,30484.0,29579.0,2750.0
2023-04-12,29876.0,30190.0,30450.0,29683.0,1690.0
2023-04-13,30389.0,29876.0,30563.0,29867.0,1430.0
2023-04-14,30462.0,30389.0,30968.0,30001.0,2590.0
2023-04-15,30280.0,30462.0,30575.0,30195.0,800.0
2023-04-16,30285.0,30280.0,30559.0,30123.0,1840.0
2023-04-17,29434.0,30285.0,30289.0,29277.0,2040.0
2023-04-18,30392.0,29434.0,30471.0,29169.0,1930.0
2023-04-19,28826.0,30392.0,30412.0,28645.0,3760.0
2023-04-20,28248.0,28826.0,29098.0,28035.0,1550.0
2023-04-21,27287.0,28248.0,28378.0,27191.0,1370.0
2023-04-22,27826.0,27287.0,27884.0,27163.0,710.0
2023-04-23,27613.0,27826.0,27827.0,27364.0,690.0
2023-04-24,27522.0,27613.0,28000.0,26998.0,1380.0
2023-04-25,28324.0,27522.0,28389.0,27224.0,980.0
2023-04-26,28433.0,28324.0,30028.0,27263.0,3460.0
2023-04-27,29479.0,28433.0,29885.0,28395.0,1890.0
2023-04-28,29338.0,29479.0,29589.0,28911.0,1400.0
2023-04-29,29253.0,29338.0,29454.0,29085.0,350.0
2023-04-30,29255.0,29253.0,29962.0,29113.0,1370.0
2023-05-01,28106.0,29255.0,29347.0,27700.0,1800.0
2023-05-02,28679.0,28106.0,28888.0,27919.0,1240.0
2023-05-03,29037.0,28679.0,29277.0,28161.0,1030.0
2023-05-04,28844.0,29037.0,29370.0,28706.0,810.0
2023-05-05,29526.0,28844.0,29687.0,28844.0,1410.0
2023-05-06,28909.0,29526.0,29836.0,28415.0,1150.0
2023-05-07,28464.0,28909.0,29175.0,28464.0,640.0
2023-05-08,27701.0,28464.0,28682.0,27309.0,1590.0
2023-05-09,27668.0,27701.0,27844.0,27386.0,750.0
2023-05-10,27622.0,27668.0,28338.0,26855.0,1700.0
2023-05-11,27016.0,27622.0,27654.0,26795.0,1790.0
2023-05-12,26818.0,27016.0,27101.0,25884.0,1820.0
2023-05-13,26790.0,26818.0,27065.0,26713.0,350.0
2023-05-14,26937.0,26790.0,27194.0,26639.0,370.0
2023-05-15,27190.0,26937.0,27671.0,26764.0,980.0
2023-05-16,27054.0,27190.0,27313.0,26899.0,800.0
2023-05-17,27425.0,27054.0,27511.0,26614.0,1880.0
2023-05-18,26862.0,27425.0,27504.0,26443.0,1590.0
2023-05-19,26911.0,26862.0,27198.0,26676.0,330.0
2023-05-20,27126.0,26911.0,27168.0,26863.0,180.0
2023-05-21,26760.0,27126.0,27285.0,26701.0,520.0
2023-05-22,26869.0,26760.0,27101.0,26562.0,540.0
2023-05-23,27243.0,26869.0,27481.0,26829.0,590.0
2023-05-24,26344.0,27243.0,27243.0,26100.0,920.0
2023-05-25,26498.0,26344.0,26620.0,25889.0,640.0
2023-05-26,26737.0,26498.0,26937.0,26359.0,960.0
2023-05-27,26885.0,26737.0,26917.0,26608.0,240.0
2023-05-28,28096.0,26885.0,28263.0,26804.0,1600.0
2023-05-29,27772.0,28096.0,28463.0,27579.0,820.0
2023-05-30,27723.0,27772.0,28065.0,27600.0,490.0
2023-05-31,27220.0,27723.0,27855.0,26859.0,1340.0
2023-06-01,26833.0,27220.0,27348.0,26666.0,830.0
2023-06-02,27254.0,26833.0,27301.0,26523.0,790.0
2023-06-03,27077.0,27254.0,27331.0,26925.0,440.0
2023-06-04,27126.0,27077.0,27446.0,26963.0,460.0
2023-06-05,25730.0,27126.0,27134.0,25420.0,3020.0
2023-06-06,27233.0,25730.0,27342.0,25392.0,1690.0
2023-06-07,26365.0,27233.0,27368.0,26157.0,1790.0
2023-06-08,26526.0,26365.0,26811.0,26248.0,700.0
2023-06-09,26502.0,26526.0,26804.0,26303.0,490.0
2023-06-10,25870.0,26502.0,26556.0,25468.0,1660.0
2023-06-11,25953.0,25870.0,26230.0,25669.0,530.0
2023-06-12,25933.0,25953.0,26106.0,25650.0,360.0
2023-06-13,25941.0,25933.0,26428.0,25748.0,790.0
2023-06-14,25146.0,25941.0,26113.0,24853.0,1260.0
2023-06-15,25611.0,25146.0,25766.0,24862.0,1110.0
2023-06-16,26357.0,25611.0,26506.0,25244.0,1020.0
2023-06-17,26535.0,26357.0,26789.0,26202.0,810.0
2023-06-18,26358.0,26535.0,26712.0,26293.0,530.0
2023-06-19,26866.0,26358.0,27056.0,26293.0,960.0
2023-06-20,28325.0,26866.0,28406.0,26676.0,2170.0
2023-06-21,30013.0,28325.0,30769.0,28286.0,3140.0
2023-06-22,29920.0,30013.0,30506.0,29678.0,1680.0
2023-06-23,30708.0,29920.0,31415.0,29838.0,2290.0
2023-06-24,30556.0,30708.0,30820.0,30294.0,730.0
2023-06-25,30485.0,30556.0,31058.0,30334.0,650.0
2023-06-26,30287.0,30485.0,30672.0,29981.0,1030.0
2023-06-27,30711.0,30287.0,31018.0,30246.0,1130.0
2023-06-28,30094.0,30711.0,30731.0,29900.0,1210.0
2023-06-29,30471.0,30094.0,30844.0,30062.0,980.0
2023-06-30,30500.0,30471.0,31299.0,29617.0,3220.0
2023-07-01,30607.0,30500.0,30689.0,30356.0,950.0
2023-07-02,30663.0,30607.0,30817.0,30200.0,700.0
2023-07-03,31176.0,30663.0,31416.0,30607.0,1360.0
2023-07-04,30782.0,31176.0,31345.0,30656.0,1670.0
2023-07-05,30532.0,30782.0,30897.0,30239.0,1250.0
2023-07-06,29942.0,30532.0,31530.0,29901.0,2310.0
2023-07-07,30370.0,29942.0,30469.0,29779.0,1190.0
2023-07-08,30318.0,30370.0,30406.0,30086.0,460.0
2023-07-09,30188.0,30318.0,30459.0,30081.0,780.0
2023-07-10,30445.0,30188.0,31044.0,29988.0,1280.0
2023-07-11,30654.0,30445.0,30822.0,30359.0,710.0
2023-07-12,30428.0,30654.0,30998.0,30260.0,1070.0
2023-07-13,31500.0,30428.0,31814.0,30307.0,2910.0
2023-07-14,30343.0,31500.0,31657.0,29969.0,2410.0
2023-07-15,30310.0,30343.0,30419.0,30283.0,380.0
2023-07-16,30260.0,30310.0,30469.0,30108.0,530.0
2023-07-17,30172.0,30260.0,30353.0,29701.0,1330.0
2023-07-18,29888.0,30172.0,30269.0,29618.0,1280.0
2023-07-19,29939.0,29888.0,30220.0,29829.0,500.0
2023-07-20,29839.0,29939.0,30438.0,29625.0,1310.0
2023-07-21,29942.0,29839.0,30091.0,29770.0,1120.0
2023-07-22,29811.0,29942.0,30035.0,29673.0,190.0
2023-07-23,30122.0,29811.0,30370.0,29777.0,500.0
2023-07-24,29224.0,30122.0,30125.0,28931.0,1620.0
2023-07-25,29272.0,29224.0,29404.0,29101.0,370.0
2023-07-26,29390.0,29272.0,29720.0,29150.0,750.0
2023-07-27,29256.0,29390.0,29601.0,29123.0,610.0
2023-07-28,29365.0,29256.0,29578.0,29169.0,320.0
2023-07-29,29402.0,29365.0,29443.0,29305.0,150.0
2023-07-30,29315.0,29402.0,29488.0,29111.0,490.0
2023-07-31,29273.0,29315.0,29560.0,29164.0,450.0
2023-08-01,29746.0,29273.0,29746.0,28663.0,1640.0
2023-08-02,29197.0,29746.0,30056.0,28975.0,1180.0
2023-08-03,29206.0,29197.0,29438.0,28995.0,620.0
2023-08-04,29119.0,29206.0,29335.0,28863.0,590.0
2023-08-05,29075.0,29119.0,29153.0,28993.0,410.0
2023-08-06,29095.0,29075.0,29198.0,29007.0,390.0
2023-08-07,29223.0,29095.0,29289.0,28722.0,1030.0
2023-08-08,29796.0,29223.0,30235.0,29165.0,1360.0
2023-08-09,29597.0,29796.0,30163.0,29393.0,1220.0
2023-08-10,29458.0,29597.0,29745.0,29384.0,1440.0
2023-08-11,29434.0,29458.0,29549.0,29258.0,1100.0
2023-08-12,29445.0,29434.0,29495.0,29393.0,200.0
2023-08-13,29314.0,29445.0,29477.0,29297.0,270.0
2023-08-14,29445.0,29314.0,29689.0,29103.0,790.0
2023-08-15,29200.0,29445.0,29499.0,29109.0,490.0
2023-08-16,28730.0,29200.0,29255.0,28728.0,1070.0
2023-08-17,26661.0,28730.0,28778.0,24863.0,4960.0
2023-08-18,26066.0,26661.0,26823.0,25699.0,2040.0
2023-08-19,26115.0,26066.0,26279.0,25812.0,330.0
2023-08-20,26215.0,26115.0,26305.0,26018.0,600.0
2023-08-21,26144.0,26215.0,26255.0,25850.0,900.0
2023-08-22,26057.0,26144.0,26156.0,25490.0,1070.0
2023-08-23,26461.0,26057.0,26834.0,25840.0,1190.0
2023-08-24,26199.0,26461.0,26598.0,25962.0,830.0
2023-08-25,26079.0,26199.0,26314.0,25825.0,1270.0
2023-08-26,26045.0,26079.0,26142.0,26019.0,210.0
2023-08-27,26121.0,26045.0,26198.0,25997.0,130.0
2023-08-28,26147.0,26121.0,26264.0,25900.0,690.0
2023-08-29,27752.0,26147.0,28097.0,25954.0,2680.0
2023-08-30,27325.0,27752.0,27789.0,27085.0,1290.0
2023-08-31,25967.0,27325.0,27550.0,25750.0,3630.0
2023-09-01,25816.0,25967.0,26164.0,25354.0,2050.0
2023-09-02,25870.0,25816.0,25995.0,25763.0,1170.0
2023-09-03,25980.0,25870.0,26114.0,25826.0,450.0
2023-09-04,25823.0,25980.0,26092.0,25666.0,720.0
2023-09-05,25793.0,25823.0,25886.0,25602.0,1020.0
2023-09-06,25783.0,25793.0,26023.0,25453.0,1140.0
2023-09-07,26264.0,25783.0,26444.0,25645.0,1210.0
2023-09-08,25918.0,26264.0,26435.0,25692.0,860.0
2023-09-09,25910.0,25918.0,25948.0,25823.0,270.0
2023-09-10,25860.0,25910.0,26009.0,25638.0,500.0
2023-09-11,25183.0,25860.0,25904.0,24927.0,1240.0
2023-09-12,25851.0,25183.0,26566.0,25152.0,2490.0
2023-09-13,26238.0,25851.0,26430.0,25797.0,870.0
2023-09-14,26544.0,26238.0,26832.0,26151.0,2560.0
2023-09-15,26625.0,26544.0,26862.0,26255.0,900.0
2023-09-16,26576.0,26625.0,26792.0,26477.0,320.0
2023-09-17,26547.0,26576.0,26632.0,26444.0,330.0
2023-09-18,26788.0,26547.0,27452.0,26444.0,2870.0
2023-09-19,27244.0,26788.0,27506.0,26700.0,1600.0
2023-09-20,27149.0,27244.0,27414.0,26847.0,1440.0
2023-09-21,26594.0,27149.0,27167.0,26416.0,1530.0
2023-09-22,26606.0,26594.0,26749.0,26532.0,2040.0
2023-09-23,26609.0,26606.0,26662.0,26555.0,880.0
2023-09-24,26299.0,26609.0,26768.0,26211.0,2029.9999999999998
2023-09-25,26330.0,26299.0,26465.0,26045.0,1170.0
2023-09-26,26244.0,26330.0,26410.0,26129.0,900.0
2023-09-27,26391.0,26244.0,26872.0,26147.0,1910.0
2023-09-28,27046.0,26391.0,27300.0,26368.0,1070.0
2023-09-29,26929.0,27046.0,27263.0,26745.0,1060.0
2023-09-30,26980.0,26929.0,27109.0,26909.0,330.0
2023-10-01,28008.0,26980.0,28100.0,26973.0,1830.0
2023-10-02,27526.0,28008.0,28566.0,27345.0,2080.0
2023-10-03,27431.0,27526.0,27700.0,27211.0,770.0
2023-10-04,27805.0,27431.0,27845.0,27249.0,890.0
2023-10-05,27418.0,27805.0,28118.0,27370.0,1440.0
2023-10-06,27942.0,27418.0,28268.0,27200.0,1620.0
2023-10-07,27967.0,27942.0,28026.0,27840.0,450.0
2023-10-08,27929.0,27967.0,28093.0,27710.0,300.0
2023-10-09,27617.0,27929.0,27987.0,27331.0,3070.0
